ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,McAvity M59M,Rouge,2019-12-17,-73.4615146852232,45.739695119499174,2023-10-17,40
,60013,McAvity M59M,Rouge,2019-03-07,-73.46212354705612,45.738523183442695,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.46326066657754,45.739030182946024,2023-10-17,40
,60013,McAvity M67 Brigadier,Rouge,2019-12-17,-73.46036480762429,45.739976748850744,2023-10-17,40
,60013,McAvity M59M,Rouge,2018-04-13,-73.46017010414316,45.738887850865126,2023-10-17,30
,60013,McAvity M59M,Rouge,2018-04-13,-73.46075046677942,45.73778209139475,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-12-17,-73.45948655776803,45.73829352367239,2023-10-17,40
,60013,McAvity M59M,Rouge,2019-12-17,-73.45865124654227,45.73921961717673,2023-10-17,40
,60013,McAvity M59M,Noire,2019-03-07,-73.45749943939903,45.73871817236653,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.45617412962537,45.73591592155021,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-12-16,-73.45870876738925,45.736878741091076,2023-10-17,30
,60013,McAvity M59M,Rouge,2018-04-13,-73.45778574546965,45.73564099871069,2023-10-17,34
,60013,McAvity M59M,Rouge,2018-04-13,-73.45941969411476,45.735592119386034,2023-10-17,34
,60013,McAvity M59M,Rouge,2019-12-16,-73.46046236549519,45.735427705915136,2023-10-17,34
,60013,McAvity M59M,Rouge,2018-04-13,-73.46087840967259,45.73624380891492,2023-10-17,34
,60013,McAvity M59M,Rouge,2018-04-13,-73.46071859869309,45.73693896225776,2023-10-17,34
,60013,McAvity M67,Rouge,2019-03-08,-73.46280494286489,45.73382975119354,2023-10-17,44
,60013,McAvity M67,Rouge,2019-03-08,-73.46280344805552,45.73463462555615,2023-10-17,44
,60013,McAvity M67,Rouge,2019-12-16,-73.46041080967186,45.73438297959867,2023-10-17,46
,60013,McAvity M67,Rouge,2019-03-08,-73.45988476852548,45.733327381333865,2023-10-17,40
,60013,Concord D67M,Rouge,2019-03-08,-73.46094649299931,45.73214982753532,2023-10-17,40
,60013,Concord D67M,Rouge,2019-03-08,-73.46249619528137,45.73282093827395,2023-10-17,40
,60013,McAvity M59M,Rouge,2018-04-13,-73.46507464241196,45.73295808593656,2023-10-17,42
,60013,McAvity M59M,Rouge,2018-04-13,-73.46626335856124,45.733009462158996,2023-10-17,45
,60013,McAvity M59M,Rouge,2019-12-16,-73.46176649994563,45.73602759482166,2023-10-17,28
,60013,McAvity M67,Rouge,2018-04-13,-73.45869485383936,45.73462869796146,2023-10-17,34
,60013,McAvity M67,Rouge,2019-08-08,-73.45816292135322,45.74008240741583,2023-10-17,42
