annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
2000,"Rosemont - La Petite-Patrie","CO",90,133197.95,19568031
2000,"Rosemont - La Petite-Patrie","DE",70,3770,
2000,"Rosemont - La Petite-Patrie","TR",367,84068.01,10984581
2000,"Saint-Laurent","CA",710,64775,34247801
2000,"Saint-Laurent","CO",202,334009,194676200
2000,"Saint-Laurent","DE",11,10008,
2000,"Saint-Laurent","TR",77,30824,18779750
2000,"Verdun","CO",344,66188,44244877
2000,"Verdun","DE",177,5075,
2000,"Ville-Marie","CO",52,590641.25,72849823
2000,"Ville-Marie","DE",37,4105,
2000,"Ville-Marie","TR",1044,1724886.99,239825784
2000,"Villeray - Saint-Michel - Parc-Extension","CO",29,54742.5,7973333
2000,"Villeray - Saint-Michel - Parc-Extension","DE",30,2480,
2000,"Villeray - Saint-Michel - Parc-Extension","TR",336,115895.53,14497816
2001,"Ahuntsic - Cartierville","CO",78,319963.5,45795663
2001,"Ahuntsic - Cartierville","DE",32,6265,
2001,"Ahuntsic - Cartierville","TR",510,487514.26,66607363
2001,"Anjou","CO, DE",288,125562,59417991
2001,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",31,217433.92,27048532
2001,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",29,4230,
2001,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",706,869413.99,117784742
2001,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",211,22348.6,8552950
2001,"LaSalle","CA",1239,129282.3,1772260
2001,"LaSalle","CO",134,30910,20360000
2001,"LaSalle","TR",92,10445,5602800
2001,"Lachine","CA",295,27714.62,5487658
2001,"Lachine","CO",46,97575.65,32234000
2001,"Lachine","DE",23,450,
2001,"Lachine","TR",10,305,44500
2001,"Le Plateau-Mont-Royal","CO",28,121892.88,16584597
2001,"Le Plateau-Mont-Royal","DE",63,4390,
2001,"Le Plateau-Mont-Royal","TR",779,264631.7,33199300
2001,"Le Sud-Ouest","CO",35,292108.43,40221130
2001,"Le Sud-Ouest","DE",42,5270,
2001,"Le Sud-Ouest","TR",302,1094173.36,33504032
2001,"Mercier - Hochelaga-Maisonneuve","CO",58,182091.4,27262438
2001,"Mercier - Hochelaga-Maisonneuve","DE",42,3410,
2001,"Mercier - Hochelaga-Maisonneuve","TR",529,261518.06,36188649
2001,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",228,218066.1,36483512
2001,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",20,4340,
