an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR870,Abitibi-Ouest,0.026700,2716.000000,3444.000000,1609.000000,1858.000000,0.563000,0.421600,0.141400,0.032300,0.214900,0.189800,0.257600,0.501700,0.059200,0.016600,1690.000000,2144.000000,0.094200,0.171600,1.443500,1596.000000
2020,2019,AR880,Abitibi,0.028200,4280.000000,5005.000000,2482.000000,2644.000000,0.541900,0.447300,0.094500,0.062800,0.094600,0.300700,0.117700,0.517100,0.073900,0.023300,3535.000000,4133.000000,0.076200,0.284600,1.321500,1939.000000
2020,2019,AR890,La Vallee-de-l'Or,0.019300,3351.000000,3406.000000,2908.000000,2585.000000,0.747800,0.532300,0.215500,0.044400,0.082800,0.124900,0.068700,0.547700,0.047800,0.026100,4527.000000,4602.000000,0.235000,0.362200,1.277200,1927.000000
2020,2019,AR901,Hors MRC - La Tuque,0.029400,2573.000000,2612.000000,1838.000000,1715.000000,0.608300,0.461100,0.147100,0.049900,0.236500,0.105300,0.034700,0.421800,0.013500,0.033500,2930.000000,2975.000000,0.240600,0.452800,1.741600,1287.000000
2020,2019,AR910,Le Domaine-du-Roy,0.021400,3124.000000,3344.000000,2261.000000,2289.000000,0.721600,0.554900,0.166700,0.091300,0.070900,0.116200,0.220300,0.548500,0.025600,0.029900,4361.000000,4668.000000,0.152600,0.241200,1.388000,1670.000000
2020,2019,AR920,Maria-Chapdelaine,0.023400,3213.000000,3398.000000,2301.000000,2289.000000,0.684500,0.512700,0.171800,0.060200,0.088400,0.166900,0.138100,0.561900,0.078500,0.031800,4370.000000,4622.000000,0.204700,0.218500,1.546100,1663.000000
2020,2019,AR930,Lac-Saint-Jean-Est,0.020400,3992.000000,3968.000000,2774.000000,2601.000000,0.625400,0.492600,0.132800,0.058000,0.050200,0.266400,0.108900,0.622000,0.040000,0.015600,3056.000000,3038.000000,0.145800,0.223100,1.205200,1694.000000
2020,2019,AR941,Hors MRC - Saguenay,0.027000,6674.000000,5071.000000,4361.000000,3152.000000,0.643600,0.546400,0.097200,0.065600,0.055800,0.235000,0.044500,0.597600,0.044100,0.033000,8169.000000,6208.000000,0.191700,0.377200,1.390700,2012.000000
2020,2019,AR942,Le Fjord-du-Saguenay,0.015400,2223.000000,2836.000000,1596.000000,1900.000000,0.675600,0.538300,0.137300,0.106000,0.080100,0.138400,0.093500,0.575000,0.029300,0.017400,2511.000000,3204.000000,0.205200,0.263700,1.169300,1722.000000
2020,2019,AR950,La Haute-Cote-Nord,0.035500,3266.000000,3578.000000,2137.000000,2104.000000,0.499600,0.372100,0.127500,0.042700,0.151400,0.306200,0.253300,0.618800,0.055300,0.030900,2843.000000,3114.000000,0.211700,0.230600,2.095300,1827.000000
2020,2019,AR960,Manicouagan,0.036600,5996.000000,5183.000000,4143.000000,3246.000000,0.611900,0.554500,0.057400,0.039900,0.063600,0.284600,0.131600,0.619000,0.022300,0.036500,5993.000000,5180.000000,0.197000,0.359700,1.876100,2074.000000
2020,2019,AR971,Sept-Rivieres,0.024200,5776.000000,5072.000000,5072.000000,3927.000000,0.740000,0.646200,0.093800,0.089600,0.059000,0.111400,0.191000,0.484500,0.029900,0.030500,7280.000000,6392.000000,0.194800,0.341800,1.248200,1742.000000
